# ERICA Nav — Shuttle bus timetable data
#
# HOW TO EDIT: this file drives the "Shuttle" tab in the app. Edit rows below in Excel/Sheets
# and re-upload/replace this file — changes show up next time the app loads.
#
# One row = one bus departure (a stop the bus leaves from, at a time, on a route).
#
# Column guide:
#  period       semester | session | vacation   (which part of the academic calendar this applies to)
#  day_type     weekday | holiday                (weekday = Mon-Fri class days; holiday = weekends + public holidays)
#  stop         res | cock | hda | apt            (boarding stop code — see stop_name for the full name)
#  stop_name    full name of the boarding stop (for reference only — editing this column does nothing; edit "stop")
#  time         24-hour HH:MM departure time from that stop
#  route_code   C | DH | DY | D | J               (which route this departure runs — see route_name)
#  route_name   full name of the route (for reference only — editing this column does nothing; edit "route_code")
#
# Route codes: C = Cycle route, stops at every stop in order (Residence -> Shuttlecock -> Handaeap Stn -> Yesulin APT).
#              DH = Direct to Handaeap Stn (skips stops in between). DY = Direct to Yesulin APT. D = generic direct route.
#              J = Via Jungang Stn detour (only these runs stop at Jungang Stn).
#
# Stop codes:  res = ERICA Residence · cock = Shuttlecock stop (campus) · hda = Handaeap Stn (Line 4) · apt = Yesulin APT (Ansan terminal)
#
# To add a departure: add a new row with the same period/day_type/stop and a new time+route_code.
# To remove one: delete its row. To change a time: edit the "time" cell.
#
period,day_type,stop,stop_name,time,route_code,route_name
semester,weekday,cock,Shuttlecock stop,09:50,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,09:50,DY,Direct - Yesulin APT
semester,weekday,cock,Shuttlecock stop,09:55,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,10:00,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,10:05,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,10:10,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,10:15,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,10:20,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,10:20,DY,Direct - Yesulin APT
semester,weekday,cock,Shuttlecock stop,10:25,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,10:30,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,10:40,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,10:50,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,10:50,DY,Direct - Yesulin APT
semester,weekday,cock,Shuttlecock stop,11:00,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,11:15,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,11:20,DY,Direct - Yesulin APT
semester,weekday,cock,Shuttlecock stop,11:30,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,11:45,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,11:50,DY,Direct - Yesulin APT
semester,weekday,cock,Shuttlecock stop,12:00,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,12:10,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,12:20,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,12:25,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,12:30,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,12:40,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,12:50,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,13:00,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,13:15,J,Via Jungang Stn
semester,weekday,cock,Shuttlecock stop,13:20,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,13:30,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,13:45,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,13:50,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,14:00,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,14:15,J,Via Jungang Stn
semester,weekday,cock,Shuttlecock stop,14:25,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,14:35,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,14:45,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,15:00,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,15:10,J,Via Jungang Stn
semester,weekday,cock,Shuttlecock stop,15:20,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,15:30,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,15:40,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,15:50,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,16:00,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,16:00,DY,Direct - Yesulin APT
semester,weekday,cock,Shuttlecock stop,16:06,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,16:12,J,Via Jungang Stn
semester,weekday,cock,Shuttlecock stop,16:18,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,16:24,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,16:30,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,16:30,DY,Direct - Yesulin APT
semester,weekday,cock,Shuttlecock stop,16:36,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,16:42,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,16:48,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,16:54,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,17:00,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,17:00,DY,Direct - Yesulin APT
semester,weekday,cock,Shuttlecock stop,17:06,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,17:12,J,Via Jungang Stn
semester,weekday,cock,Shuttlecock stop,17:18,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,17:24,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,17:30,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,17:30,DY,Direct - Yesulin APT
semester,weekday,cock,Shuttlecock stop,17:36,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,17:42,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,17:48,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,17:54,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,18:00,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,18:06,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,18:12,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,18:18,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,18:24,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,18:30,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,18:40,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,18:50,DH,Direct - Handaeap Stn
semester,weekday,cock,Shuttlecock stop,19:00,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,19:10,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,19:20,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,19:30,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,19:40,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,19:50,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,20:00,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,20:10,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,20:20,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,20:30,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,20:40,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,20:50,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,21:00,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,21:10,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,21:20,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,21:30,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,21:45,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,22:00,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,22:15,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,22:30,C,Cycle route (all stops)
semester,weekday,cock,Shuttlecock stop,22:45,C,Cycle route (all stops)
